setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kcTBH,0,101,298.15,1.4303,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.0128,101,298.15,1.4307,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.0279,101,298.15,1.4308,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.0586,101,298.15,1.4311,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.1206,101,298.15,1.4314,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.2437,101,298.15,1.4309,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.3353,101,298.15,1.4296,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.4376,101,298.15,1.4274,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.5413,101,298.15,1.4246,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.6507,101,298.15,1.4212,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.749,101,298.15,1.4179,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.8245,101,298.15,1.4153,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.9085,101,298.15,1.4123,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.9605,101,298.15,1.4101,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,0.9884,101,298.15,1.4092,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
kcTBH,1,101,298.15,1.4089,Singh and Kumar (2010),Refractive index,Liquid,AAqmFh,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
