setid,"Temperature, K",Mole fraction of 3-butyl-1-methyl-1H-imidazolium L-alaninate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ywoUP,298.15,0.1012,101,1.5355,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.1939,101,1.534,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.3103,101,1.532,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.3971,101,1.5304,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.4864,101,1.5287,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.6015,101,1.5264,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.6945,101,1.5245,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.8015,101,1.5223,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,298.15,0.9026,101,1.5203,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,303.15,0.1012,101,1.5333,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,303.15,0.1939,101,1.5319,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,303.15,0.3103,101,1.53,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,303.15,0.3971,101,1.5285,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,303.15,0.4864,101,1.5268,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,303.15,0.6015,101,1.5246,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
ywoUP,303.15,0.6945,101,1.5227,Yu et al. (2011a),Refractive index,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,,
