setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XJzkD,279.705,1,82,632.8,1.4316,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,279.706,0,82,632.8,1.3815,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,280.334,0.899,82,632.8,1.4296,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,281.265,0.802,82,632.8,1.4274,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,281.353,1,82,632.8,1.4311,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,281.767,0,82,632.8,1.3806,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,282.36,0.7,82,632.8,1.4247,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,282.391,0.899,82,632.8,1.4291,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,282.698,0.598,82,632.8,1.422,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,282.761,0.5,82,632.8,1.4186,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
XJzkD,282.834,0.802,82,632.8,1.427,Zhang et al. (2016f),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
