setid,Weight fraction of ethanol,Weight fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
LjYyf,0.0143,0.094,101,298.15,1.51094,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0296,0.0926,101,298.15,1.50857,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0312,0.1298,101,298.15,1.50097,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0337,0.1875,101,298.15,1.48809,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0369,0.2812,101,298.15,1.46745,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0655,0.0892,101,298.15,1.50144,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.07,0.1246,101,298.15,1.49421,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0726,0.1799,101,298.15,1.48178,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0811,0.2683,101,298.15,1.46284,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
LjYyf,0.0932,0.6347,101,298.15,1.38693,Calvar et al. (2006),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,
