setid,"Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ghPjS,0,298.15,101,1.333,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.0397,298.15,101,1.362,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.1068,298.15,101,1.387,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.1997,298.15,101,1.404,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.2577,298.15,101,1.411,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.3222,298.15,101,1.417,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.4983,298.15,101,1.423,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.7058,298.15,101,1.429,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.7325,298.15,101,1.43,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,0.8659,298.15,101,1.432,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
ghPjS,1,298.15,101,1.433,Malham and Turmine (2008),Refractive index,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,
