setid,Mole fraction of propan-2-ol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OUYcy,0.0331,298.15,101,1.43251,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.066,298.15,101,1.43205,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.105,298.15,101,1.43149,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.1823,298.15,101,1.43031,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.2732,298.15,101,1.42862,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.3284,298.15,101,1.42746,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.4097,298.15,101,1.42551,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.5055,298.15,101,1.42269,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.5848,298.15,101,1.41988,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.6747,298.15,101,1.41568,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.7832,298.15,101,1.40856,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
OUYcy,0.8966,298.15,101,1.39645,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
