setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VXZST,0.0517,298.15,101,1.3703,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.0918,298.15,101,1.3767,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.1995,298.15,101,1.3898,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.2495,298.15,101,1.3943,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.2518,298.15,101,1.3946,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.3228,298.15,101,1.3998,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.4219,298.15,101,1.4058,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.5356,298.15,101,1.4105,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.6244,298.15,101,1.4137,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.709,298.15,101,1.4161,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
VXZST,0.8295,298.15,101,1.4188,Iglesias-Otero et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
