setid,Weight fraction of 1-ethyl-3-methylimidazolium bromide,Weight fraction of rubidium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GARKw,0,0.3987,101,298.15,1.36533,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.0537,0.3502,101,298.15,1.36893,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.1174,0.2895,101,298.15,1.37727,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.1874,0.2437,101,298.15,1.38874,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.2636,0.2023,101,298.15,1.40032,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.3461,0.1621,101,298.15,1.41236,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.4381,0.1161,101,298.15,1.4281,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.5308,0.0822,101,298.15,1.44585,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.6266,0.052,101,298.15,1.47028,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.7141,0.0396,101,298.15,1.48954,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
GARKw,0.8033,0.0276,101,298.15,1.50874,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
