setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rDTMg,303.15,0,101,1.46528,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.1176,101,1.45949,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.2072,101,1.4549,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.3065,101,1.45015,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.4064,101,1.44595,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.5051,101,1.44232,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.6084,101,1.43896,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.7091,101,1.43605,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.808,101,1.43348,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,0.903,101,1.43126,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,303.15,1,101,1.42918,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0,101,1.4632,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.1176,101,1.45765,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.2072,101,1.45316,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.3065,101,1.44854,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.4064,101,1.4444,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.5051,101,1.44084,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.6084,101,1.43753,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.7091,101,1.43466,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
rDTMg,308.15,0.808,101,1.43213,Akbar and Murugesan (2013),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
