setid,"MolaLity of 1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate, mol/kg","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wdmPn,0.0974,87,298.15,1.3386,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AADYJk,O,water,,,,
wdmPn,0.2012,87,298.15,1.344,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AADYJk,O,water,,,,
wdmPn,0.298,87,298.15,1.3488,Shekaari et al. (2019d),Refractive index,Liquid,ABLwHW,CCCCCCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1O,1-methyl-3-octyl-1H-imidazolium 2-hydroxybenzoate,AADYJk,O,water,,,,
