setid,"Temperature, K","Mole fraction of 2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tJbEr,293.15,0.0258,101,1.36903,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.0511,101,1.39091,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.074,101,1.41121,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.1027,101,1.41982,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.1965,101,1.43901,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.2957,101,1.45194,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.416,101,1.46075,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.5184,101,1.46916,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.5347,101,1.46974,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.6044,101,1.47013,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.6931,101,1.47355,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.7801,101,1.47251,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.8279,101,1.47481,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,293.15,0.8996,101,1.48014,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.0258,101,1.36828,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.0511,101,1.38998,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.074,101,1.4101,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.1027,101,1.41868,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.1965,101,1.43773,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.2957,101,1.45066,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.416,101,1.4594,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.5184,101,1.46786,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.5347,101,1.46843,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.6044,101,1.46887,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.6931,101,1.4723,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.7801,101,1.47121,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.8279,101,1.47368,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,298.15,0.8996,101,1.47898,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
tJbEr,303.15,0.0258,101,1.36748,Chaudhary et al. (2014b),Refractive index,Liquid,AADYJk,O,water,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,
