setid,"Temperature, K",Mole fraction of butylammonium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
nbdgE,298.15,0.0319,101.3,1.3681,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.0608,101.3,1.3731,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.0999,101.3,1.3804,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.1977,101.3,1.3965,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.2965,101.3,1.4073,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.4008,101.3,1.4152,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.5005,101.3,1.4219,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.6454,101.3,1.4292,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.8019,101.3,1.436,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
nbdgE,298.15,0.9009,101.3,1.4396,Xu et al. (2012b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
