setid,Solvent: Weight fraction of tetrabutylphosphonium tetrafluoroborate,"MolaLity of L-valine, mol/kg","Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
stnYo,0.001,0.1002,298.15,100,589.3,1.3331,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.001,0.1585,298.15,100,589.3,1.3336,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.001,0.2007,298.15,100,589.3,1.334,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.001,0.2355,298.15,100,589.3,1.3344,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.001,0.2659,298.15,100,589.3,1.3348,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.001,0.2932,298.15,100,589.3,1.3352,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.003,0.1001,298.15,100,589.3,1.334,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.003,0.1584,298.15,100,589.3,1.3346,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.003,0.2006,298.15,100,589.3,1.335,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
stnYo,0.003,0.2353,298.15,100,589.3,1.3354,Roy et al. (2013c),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
