setid,Mole fraction of 1-methylethyl ethanoate,Mole fraction of propan-2-ol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
sAYcv,0.0419,0.5765,298.15,101,1.41175,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0433,0.8597,298.15,101,1.39083,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0466,0.4775,298.15,101,1.41537,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0502,0.7599,298.15,101,1.40009,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0523,0.2824,298.15,101,1.42081,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0527,0.3789,298.15,101,1.41825,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0549,0.6586,298.15,101,1.40673,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.07,0.0941,298.15,101,1.42421,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0877,0.183,298.15,101,1.42203,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0963,0.7231,298.15,101,1.39914,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0964,0.8121,298.15,101,1.3898,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0965,0.5437,298.15,101,1.41038,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0983,0.2687,298.15,101,1.41993,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.0983,0.3607,298.15,101,1.41724,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.101,0.4502,298.15,101,1.41409,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1135,0.0897,298.15,101,1.42336,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1274,0.1751,298.15,101,1.42123,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1285,0.6073,298.15,101,1.40501,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1396,0.6885,298.15,101,1.39806,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1457,0.3417,298.15,101,1.41614,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1459,0.4277,298.15,101,1.41306,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.152,0.2527,298.15,101,1.41859,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1617,0.0848,298.15,101,1.42238,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1679,0.5799,298.15,101,1.40399,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1723,0.1661,298.15,101,1.42035,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1724,0.498,298.15,101,1.40845,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1911,0.727,298.15,101,1.38803,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
sAYcv,0.1943,0.6447,298.15,101,1.3968,Andreatta et al. (2011),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,
