setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rCXfu,288.15,0,101,1.43304,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0086,101,1.43562,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0172,101,1.43757,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.026,101,1.4401,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0351,101,1.44223,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0443,101,1.44442,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0541,101,1.4466,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0638,101,1.44861,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0738,101,1.45083,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0841,101,1.45282,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.0947,101,1.45492,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.1056,101,1.45766,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.1167,101,1.45909,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.1282,101,1.46111,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.1399,101,1.46315,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,288.15,0.152,101,1.46516,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0,101,1.42858,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0086,101,1.43088,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0172,101,1.43313,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.026,101,1.43537,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0351,101,1.43761,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0443,101,1.4398,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0541,101,1.44206,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0638,101,1.44422,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0738,101,1.44638,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0841,101,1.44852,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.0947,101,1.45063,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.1056,101,1.45271,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.1167,101,1.45475,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.1282,101,1.45676,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.1399,101,1.45871,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,298.15,0.152,101,1.46064,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0,101,1.42381,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0086,101,1.42611,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0172,101,1.42836,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.026,101,1.4306,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0351,101,1.43285,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0443,101,1.43505,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0541,101,1.43731,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0638,101,1.43948,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0738,101,1.44163,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0841,101,1.44378,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.0947,101,1.4459,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.1056,101,1.44799,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.1167,101,1.45003,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.1282,101,1.45205,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.1399,101,1.45401,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
rCXfu,308.15,0.152,101,1.45595,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
