setid,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
oexPo,100,298.15,1.50047,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,303.15,1.49937,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,308.15,1.49826,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,313.15,1.49716,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,318.15,1.49602,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,323.15,1.49476,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,328.15,1.49317,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,333.15,1.49148,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,338.15,1.49052,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,343.15,1.48921,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,348.15,1.48749,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
oexPo,100,353.15,1.48633,Lee et al. (2016),Refractive index,Liquid,ABIsdK,C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,"2-hydroxy-N,N,N-trimethylethanaminium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate",,,,,,,
