setid,"Temperature, K","Pressure, kPa",Mole fraction of glycerol,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VOqNW,328.15,101.3,0.167,1.5502,Kareem et al. (2010),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABWotl,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,benzyltriphenylphosphonium chloride,,,,
VOqNW,338.15,101.3,0.167,1.5168,Kareem et al. (2010),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,ABWotl,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,benzyltriphenylphosphonium chloride,,,,
