setid,"Temperature, K","Pressure, kPa",Mole fraction of dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fPLTh,283.15,100,0.5,1.50765,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,288.15,100,0.5,1.50639,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,293.15,100,0.5,1.50515,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,298.15,100,0.5,1.50388,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,303.15,100,0.5,1.50259,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,308.15,100,0.5,1.50135,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,313.15,100,0.5,1.50007,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,318.15,100,0.5,1.49876,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,323.15,100,0.5,1.49748,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,328.15,100,0.5,1.49626,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,333.15,100,0.5,1.49506,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,338.15,100,0.5,1.49364,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
fPLTh,343.15,100,0.5,1.4924,Kazarina et al. (2023a),Refractive index,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
