setid,"Temperature, K","Pressure, kPa",Weight fraction of water,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
aEncJ,298.15,101,0.0309,1.47866,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,303.15,101,0.0309,1.47702,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,308.15,101,0.0309,1.47535,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,313.15,101,0.0309,1.47367,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,318.15,101,0.0309,1.47207,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,323.15,101,0.0309,1.47049,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,328.15,101,0.0309,1.46893,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,333.15,101,0.0309,1.46739,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,338.15,101,0.0309,1.46586,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,343.15,101,0.0309,1.46442,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,348.15,101,0.0309,1.46302,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
aEncJ,353.15,101,0.0309,1.46163,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
