setid,Mole fraction of triethylammonium acetate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
APZMy,0,101,298.15,1.33,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.0288,101,298.15,1.355,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.042,101,298.15,1.363,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.0638,101,298.15,1.377,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.0847,101,298.15,1.39,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.1016,101,298.15,1.398,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.1457,101,298.15,1.418,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.2125,101,298.15,1.443,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.2349,101,298.15,1.449,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.2904,101,298.15,1.462,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.3254,101,298.15,1.468,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.367,101,298.15,1.473,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.4174,101,298.15,1.478,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.5162,101,298.15,1.483,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.5579,101,298.15,1.481,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.6055,101,298.15,1.483,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.6604,101,298.15,1.481,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.7243,101,298.15,1.48,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.7996,101,298.15,1.481,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,0.8899,101,298.15,1.487,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
APZMy,1,101,298.15,1.501,Umapathi et al. (2014),Refractive index,Liquid,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,AADYJk,O,water,,,,
