setid,"Temperature, K","Pressure, kPa",Mole ratio to solvent: 2-hydroxypropanoic acid,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
BqVTS,293.15,101,3,1.4944,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,298.15,101,3,1.4926,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,303.15,101,3,1.4908,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,308.15,101,3,1.4892,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,313.15,101,3,1.4876,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,318.15,101,3,1.4858,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,323.15,101,3,1.4844,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,328.15,101,3,1.4824,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,333.15,101,3,1.4811,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,338.15,101,3,1.4791,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
BqVTS,343.15,101,3,1.4778,Basaiahgari et al. (2017),Refractive index,Liquid,AARQjp,CC(O)C(=O)O,2-hydroxypropanoic acid,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
