setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rSKxs,298.15,0.00594,100,1.5125,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,298.15,0.00746,100,1.5122,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,298.15,0.00898,100,1.5117,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,298.15,0.0105,100,1.5112,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,298.15,0.01211,100,1.5108,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,303.15,0.00594,100,1.5117,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,303.15,0.00746,100,1.5113,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,303.15,0.00898,100,1.5109,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,303.15,0.0105,100,1.5104,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,303.15,0.01211,100,1.5099,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,308.15,0.00594,100,1.5109,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,308.15,0.00746,100,1.5104,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,308.15,0.00898,100,1.5101,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,308.15,0.0105,100,1.5096,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,308.15,0.01211,100,1.5091,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,313.15,0.00594,100,1.5099,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,313.15,0.00746,100,1.5094,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,313.15,0.00898,100,1.5091,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
rSKxs,313.15,0.0105,100,1.5087,Wei et al. (2015a),Refractive index,Liquid,AADYJk,O,water,AAupHc,CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],1-butyl-3-methylimidazolium L-serinate,,,,
