setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
UyaNo,0.0495,101,298.15,1.35534,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.0979,101,298.15,1.3733,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.1997,101,298.15,1.39501,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.2859,101,298.15,1.40551,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.3648,101,298.15,1.41222,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.4461,101,298.15,1.41738,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.4922,101,298.15,1.41982,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.5121,101,298.15,1.42076,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.5709,101,298.15,1.42339,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.5972,101,298.15,1.42443,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.6485,101,298.15,1.42629,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.785,101,298.15,1.43029,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
UyaNo,0.9049,101,298.15,1.43284,Arce et al. (2006b),Refractive index,Liquid,AAGIBL,CO,methanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
