setid,"Temperature, K","Pressure, kPa",Mole ratio to solvent: glycerol,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
bcnky,293.15,101,3,1.5051,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,298.15,101,3,1.5036,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,303.15,101,3,1.5026,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,308.15,101,3,1.5011,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,313.15,101,3,1.4999,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,318.15,101,3,1.4982,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,323.15,101,3,1.4966,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,328.15,101,3,1.4953,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,333.15,101,3,1.4936,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,338.15,101,3,1.4922,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
bcnky,343.15,101,3,1.4908,Basaiahgari et al. (2017),Refractive index,Liquid,AARkmK,OCC(O)CO,glycerol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
