setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pFfcK,298.15,0,100,1.4103,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.1001,100,1.44,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.2003,100,1.4647,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.2994,100,1.4853,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.4,100,1.502,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.5002,100,1.5141,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.6002,100,1.5226,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.701,100,1.5297,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.7969,100,1.535,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,0.9003,100,1.5404,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,298.15,1,100,1.5452,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0,100,1.4082,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.1001,100,1.4388,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.2003,100,1.4637,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.2994,100,1.4845,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.4,100,1.5012,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.5002,100,1.5134,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.6002,100,1.5218,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.701,100,1.5289,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.7969,100,1.5343,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,0.9003,100,1.5397,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,303.15,1,100,1.5441,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0,100,1.4064,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.1001,100,1.4377,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.2003,100,1.4627,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.2994,100,1.4833,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.4,100,1.5002,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.5002,100,1.5123,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.6002,100,1.5206,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.701,100,1.5276,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.7969,100,1.5332,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,0.9003,100,1.5383,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,308.15,1,100,1.5421,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,313.15,0,100,1.4052,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
pFfcK,313.15,0.1001,100,1.4372,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
