setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","MolaLity of N-(.beta.-aminoethyl)piperazine), mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
lFfRm,298.15,2,0,101,1.3795,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,298.15,2,1,101,1.3943,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,298.15,2.25,0,101,1.3836,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,298.15,2.25,0.75,101,1.3937,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,298.15,2.5,0,101,1.3873,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,298.15,2.5,0.5,101,1.3936,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,303.15,2,0,101,1.3784,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,303.15,2,1,101,1.3933,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,303.15,2.25,0,101,1.3825,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,303.15,2.25,0.75,101,1.3926,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,303.15,2.5,0,101,1.3862,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,303.15,2.5,0.5,101,1.3924,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,308.15,2,0,101,1.3775,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,308.15,2,1,101,1.3921,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,308.15,2.25,0,101,1.3813,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,308.15,2.25,0.75,101,1.3914,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,308.15,2.5,0,101,1.3852,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,308.15,2.5,0.5,101,1.391,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,313.15,2,0,101,1.3763,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,313.15,2,1,101,1.3909,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,313.15,2.25,0,101,1.3802,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,313.15,2.25,0.75,101,1.3904,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,313.15,2.5,0,101,1.384,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,313.15,2.5,0.5,101,1.39,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,318.15,2,0,101,1.3753,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,318.15,2,1,101,1.3897,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,318.15,2.25,0,101,1.3791,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,318.15,2.25,0.75,101,1.3893,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,318.15,2.5,0,101,1.3828,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,318.15,2.5,0.5,101,1.3887,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,323.15,2,0,101,1.3744,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,323.15,2,1,101,1.3885,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,323.15,2.25,0,101,1.378,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,323.15,2.25,0.75,101,1.3881,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,323.15,2.5,0,101,1.3816,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,323.15,2.5,0.5,101,1.3878,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,328.15,2,0,101,1.3734,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,328.15,2,1,101,1.3872,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,328.15,2.25,0,101,1.3769,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,328.15,2.25,0.75,101,1.3869,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,328.15,2.5,0,101,1.3803,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,328.15,2.5,0.5,101,1.3868,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,333.15,2,0,101,1.3702,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,333.15,2,1,101,1.3864,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,333.15,2.25,0,101,1.376,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,333.15,2.25,0.75,101,1.3859,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,333.15,2.5,0,101,1.3796,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
lFfRm,333.15,2.5,0.5,101,1.3854,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water,
