setid,"MolaLity of thiophene, mol/kg","Temperature, K","Pressure, kPa","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QfRbV,0,298.15,101.33,0.1,1.3737,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.0462,298.15,101.33,0.1,1.3741,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.0612,298.15,101.33,0.1,1.3743,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.0761,298.15,101.33,0.1,1.3745,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.091,298.15,101.33,0.1,1.3747,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.1064,298.15,101.33,0.1,1.3749,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.1213,298.15,101.33,0.1,1.3751,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.1362,298.15,101.33,0.1,1.3753,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.1513,298.15,101.33,0.1,1.3755,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.166,298.15,101.33,0.1,1.3757,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.1812,298.15,101.33,0.1,1.3759,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
QfRbV,0.1958,298.15,101.33,0.1,1.3761,Shekaari et al. (2015d),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAQdzy,CCCCCC,hexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,
