setid,Weight fraction of propan-2-ol,Weight fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
KTndf,0.0348,0.0382,101,298.15,1.4154,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.0375,0.0094,101,298.15,1.4187,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.039,0.0197,101,298.15,1.4177,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.0418,0.1476,101,298.15,1.4033,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.0788,0.1282,101,298.15,1.4037,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.0957,0.0647,101,298.15,1.4095,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1023,0.356,101,298.15,1.3837,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1047,0.0244,101,298.15,1.4135,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1049,0.453,101,298.15,1.376,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1088,0.0433,101,298.15,1.4112,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1089,0.0258,101,298.15,1.416,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1089,0.6225,101,298.15,1.363,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1124,0.7897,101,298.15,1.3507,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1906,0.1495,101,298.15,1.3996,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1926,0.3202,101,298.15,1.3852,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1946,0.4077,101,298.15,1.3788,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1971,0.0795,101,298.15,1.404,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.199,0.5595,101,298.15,1.3679,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.1999,0.2354,101,298.15,1.3906,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2027,0.7093,101,298.15,1.3577,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2039,0.021,101,298.15,1.4088,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2074,0.0459,101,298.15,1.4132,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2082,0.0398,101,298.15,1.4067,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2117,0.2289,101,298.15,1.3913,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2144,0.3227,101,298.15,1.3798,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2176,0.2535,101,298.15,1.3899,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2487,0.1734,101,298.15,1.394,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2551,0.1609,101,298.15,1.3952,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2598,0.1397,101,298.15,1.3987,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2649,0.0996,101,298.15,1.4024,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2711,0.2956,101,298.15,1.3849,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
KTndf,0.2887,0.0254,101,298.15,1.4044,Navarro et al. (2012),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,
