setid,"Temperature, K","Pressure, kPa","Mole ratio to solvent: 1,2-ethanediol",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mmhAr,293.15,101,3,1.4981,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,298.15,101,3,1.4965,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,303.15,101,3,1.4952,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,308.15,101,3,1.4939,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,313.15,101,3,1.4924,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,318.15,101,3,1.4911,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,323.15,101,3,1.4895,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,328.15,101,3,1.4879,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,333.15,101,3,1.4864,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,338.15,101,3,1.4849,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
mmhAr,343.15,101,3,1.4831,Basaiahgari et al. (2017),Refractive index,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
