setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FQPrf,288.15,0,101,1.51631,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.0987,101,1.51478,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.1089,101,1.51458,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.2048,101,1.51266,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.3037,101,1.51023,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.3979,101,1.50723,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.4922,101,1.50325,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.6018,101,1.49668,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.7084,101,1.48656,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.8029,101,1.47121,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.8984,101,1.43938,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,0.9493,101,1.4043,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,288.15,1,101,1.33349,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,298.15,0,101,1.5135,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
FQPrf,298.15,0.0987,101,1.51196,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAyNkY,CCOS(=O)(=O)[O-].CCc1cccc[n+]1CC,"1,2-diethylpyridinium ethylsulfate",,,,
