setid,Mole fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qUuAw,0,100,293,1.3333,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.009,100,293,1.35,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.028,100,293,1.3767,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.046,100,293,1.3959,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.093,100,293,1.4243,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.158,100,293,1.4433,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.23,100,293,1.4546,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.327,100,293,1.4621,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.454,100,293,1.4678,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.705,100,293,1.4721,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,0.94,100,293,1.4735,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
qUuAw,1,100,293,1.4742,Kaneko et al. (2018a),Refractive index,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AADYJk,O,water,,,,
