setid,Mole fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RYPSJ,0,298.15,100,1.55065,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.1175,298.15,100,1.5428,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.2134,298.15,100,1.53506,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.345,298.15,100,1.52227,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.3836,298.15,100,1.51795,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.5009,298.15,100,1.50291,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.5142,298.15,100,1.50095,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.6181,298.15,100,1.4841,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.6948,298.15,100,1.46827,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.7997,298.15,100,1.44082,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,0.8944,298.15,100,1.40936,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
RYPSJ,1,298.15,100,1.35972,Wojtczuk et al. (2020),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
