setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium octyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Lwfco,293.15,0,100,1.3335,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.1002,100,1.4235,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.2002,100,1.4455,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.3004,100,1.4555,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.4004,100,1.461,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.501,100,1.464,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.5998,100,1.467,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.6988,100,1.4685,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.8,100,1.47,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,293.15,0.9018,100,1.4705,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0,100,1.3315,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.1002,100,1.422,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.2002,100,1.4435,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.3004,100,1.453,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.4004,100,1.4585,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.501,100,1.462,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.5998,100,1.4645,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.6988,100,1.466,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.8,100,1.4675,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
Lwfco,303.15,0.9018,100,1.4685,Carissimi et al. (2019),Refractive index,Liquid,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,AADYJk,O,water,,,,
