setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FhqAE,298.15,0,101.3,1.4119,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.0479,101.3,1.4127,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.0964,101.3,1.4135,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.1514,101.3,1.4143,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.2034,101.3,1.415,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.2917,101.3,1.416,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.3883,101.3,1.4171,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.4926,101.3,1.418,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.5974,101.3,1.4188,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.6927,101.3,1.4195,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.7631,101.3,1.4201,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.8253,101.3,1.4207,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.8945,101.3,1.4214,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,0.9518,101.3,1.4221,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,298.15,1,101.3,1.4229,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0,101.3,1.4097,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.0479,101.3,1.4107,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
FhqAE,303.15,0.0964,101.3,1.4115,Prathipati et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAUBtI,CCCOCCO,2-propoxyethanol,,,,
