setid,"Temperature, K","MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zpDSd,288.15,0.1021,101,1.3497,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,288.15,0.1997,101,1.3525,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,288.15,0.289,101,1.3497,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,298.15,0.1021,101,1.345,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,298.15,0.1997,101,1.3482,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,298.15,0.289,101,1.345,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,308.15,0.1021,101,1.3402,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,308.15,0.1997,101,1.3434,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,308.15,0.289,101,1.3402,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,318.15,0.1021,101,1.3354,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,318.15,0.1997,101,1.3388,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
zpDSd,318.15,0.289,101,1.3354,Shekaari et al. (2015e),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
