setid,Weight fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cLrmw,0.094,306.251,101,632.8,1.4367,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.094,307.203,101,632.8,1.4364,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.094,308.24,101,632.8,1.4361,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.094,309.231,101,632.8,1.4358,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.094,310.169,101,632.8,1.4355,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.094,312.271,101,632.8,1.4349,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.094,314.325,101,632.8,1.4343,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.19,309.545,101,632.8,1.4322,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.19,311.248,101,632.8,1.4317,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.19,312.778,101,632.8,1.4312,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.19,314.291,101,632.8,1.4308,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.19,316.135,101,632.8,1.4302,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.19,317.296,101,632.8,1.4299,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.286,309.877,101,632.8,1.4289,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.286,311.224,101,632.8,1.4285,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
cLrmw,0.286,312.995,101,632.8,1.4279,Lv et al. (2010),Refractive index,Liquid,AARRzH,OCCCCO,"1,4-butanediol",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
