setid,"Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xxBJs,0,100,298.15,1.3267,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.0501,100,298.15,1.3631,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.1005,100,298.15,1.389,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.1957,100,298.15,1.4222,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.2953,100,298.15,1.4423,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.393,100,298.15,1.4577,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.5005,100,298.15,1.4688,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.6431,100,298.15,1.4791,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.7815,100,298.15,1.4865,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,0.8994,100,298.15,1.4915,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
xxBJs,1,100,298.15,1.4943,Ye et al. (2016),Refractive index,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
