setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium iodide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
IwSbS,293.15,0,101.22,1.3992,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,0.311,101.22,1.4864,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,0.381,101.22,1.5007,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,0.51,101.22,1.5237,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,0.574,101.22,1.5339,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,0.623,101.22,1.541,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,0.802,101.22,1.5634,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,0.85,101.22,1.5686,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,293.15,1,101.22,1.5825,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0,101.22,1.3973,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.108,101.22,1.4332,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.171,101.22,1.4508,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
IwSbS,298.15,0.311,101.22,1.4848,Teodorescu (2015),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,,
