setid,Mole fraction of methyl ethanoate,Mole fraction of methanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
lwCXz,0.0073,0.1024,298.15,101,1.43154,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0415,0.479,298.15,101,1.42171,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0423,0.3866,298.15,101,1.42493,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.044,0.8604,298.15,101,1.37995,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0441,0.1917,298.15,101,1.42946,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0506,0.5695,298.15,101,1.41693,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0531,0.6662,298.15,101,1.40985,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0544,0.7542,298.15,101,1.39995,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0864,0.2731,298.15,101,1.4267,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0912,0.3668,298.15,101,1.42387,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0972,0.8126,298.15,101,1.37934,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.0981,0.093,298.15,101,1.43009,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1059,0.5364,298.15,101,1.41543,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1108,0.4443,298.15,101,1.42013,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1206,0.7014,298.15,101,1.39828,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1216,0.618,298.15,101,1.40815,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1446,0.0882,298.15,101,1.42927,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1455,0.1714,298.15,101,1.42762,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1474,0.3441,298.15,101,1.42254,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1482,0.7667,298.15,101,1.37814,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1512,0.2538,298.15,101,1.42541,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
lwCXz,0.1583,0.4206,298.15,101,1.41901,Andreatta et al. (2009b),Refractive index,Liquid,AAGIBL,CO,methanol,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
