setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rqcbV,288.15,0,101,1.433,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.0306,101,1.4392,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.0647,101,1.4453,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.1021,101,1.4504,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.1457,101,1.456,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.1939,101,1.4607,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.2496,101,1.4653,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.3143,101,1.4697,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.39,101,1.4741,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.4809,101,1.4779,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.5908,101,1.4817,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,0.7259,101,1.4853,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,288.15,1,101,1.4901,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0,101,1.4286,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.0306,101,1.4346,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.0647,101,1.4411,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.1021,101,1.4461,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.1457,101,1.452,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.1939,101,1.4564,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.2496,101,1.4617,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.3143,101,1.4659,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.39,101,1.4707,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.4809,101,1.4743,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.5908,101,1.4784,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,0.7259,101,1.4821,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,298.15,1,101,1.4871,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0,101,1.4238,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.0306,101,1.4301,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.0647,101,1.4361,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.1021,101,1.4419,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.1457,101,1.4477,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.1939,101,1.4524,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.2496,101,1.4573,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.3143,101,1.4621,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.39,101,1.4667,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.4809,101,1.4709,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.5908,101,1.475,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,0.7259,101,1.479,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,308.15,1,101,1.4841,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0,101,1.4191,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.0306,101,1.4256,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.0647,101,1.4314,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.1021,101,1.438,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.1457,101,1.4434,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.1939,101,1.4485,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.2496,101,1.4535,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.3143,101,1.4586,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.39,101,1.4631,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.4809,101,1.4676,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.5908,101,1.4718,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,0.7259,101,1.4759,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
rqcbV,318.15,1,101,1.4812,Yan et al. (2014b),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,,
