setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QZQCZ,288.15,0,101,1.36358,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.05087,101,1.37603,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.10037,101,1.38531,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.15044,101,1.39279,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.20097,101,1.39891,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.29906,101,1.40822,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.39764,101,1.41506,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.49762,101,1.42051,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.59345,101,1.4247,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.69813,101,1.42832,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.79935,101,1.43116,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
QZQCZ,288.15,0.8407,101,1.4322,Vercher et al. (2010b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
