setid,"Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
dGYyO,0,100,298.15,1.3975,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.0499,100,298.15,1.4074,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.1004,100,298.15,1.4159,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.1999,100,298.15,1.4316,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.2997,100,298.15,1.4443,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.3985,100,298.15,1.4545,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.4997,100,298.15,1.4641,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.6499,100,298.15,1.4748,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.8002,100,298.15,1.4839,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,0.9004,100,298.15,1.4888,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
dGYyO,1,100,298.15,1.4943,Ye et al. (2016),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
