setid,Mole fraction of diisopropyl ether,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZmsnU,0.0515,298.15,101.3,1.4808,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.0994,298.15,101.3,1.4794,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.2017,298.15,101.3,1.4763,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.2989,298.15,101.3,1.4726,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.4018,298.15,101.3,1.4678,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.4997,298.15,101.3,1.4641,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.5994,298.15,101.3,1.4553,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.7017,298.15,101.3,1.4478,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.8004,298.15,101.3,1.4384,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.8993,298.15,101.3,1.4076,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
ZmsnU,0.9491,298.15,101.3,1.3881,Hwang et al. (2011a),Refractive index,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
