setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fcIAp,293.15,0,100,1.3335,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.1001,100,1.3885,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.2002,100,1.406,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.3005,100,1.4155,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.4002,100,1.421,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.5003,100,1.425,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.5997,100,1.4275,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.6996,100,1.43,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.8011,100,1.4315,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,293.15,0.8992,100,1.4325,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0,100,1.3315,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.1001,100,1.3865,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.2002,100,1.4055,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.3005,100,1.414,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.4002,100,1.4175,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.5003,100,1.423,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.5997,100,1.4255,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.6996,100,1.4275,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.8011,100,1.4295,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
fcIAp,303.15,0.8992,100,1.43,Carissimi et al. (2019),Refractive index,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,,
