setid,"Temperature, K","MolaLity of thiophene, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tEJJb,288.15,0,86.5,1.525,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.0087,86.5,1.5248,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.022,86.5,1.5245,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.032,86.5,1.5242,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.0435,86.5,1.524,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.0556,86.5,1.5238,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.0663,86.5,1.5235,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.0821,86.5,1.5232,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.0923,86.5,1.5229,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.107,86.5,1.5226,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.1464,86.5,1.5221,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,288.15,0.1765,86.5,1.5216,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0,86.5,1.5236,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.0087,86.5,1.5233,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.022,86.5,1.5231,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.032,86.5,1.5228,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.0435,86.5,1.5226,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.0556,86.5,1.5223,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.0663,86.5,1.522,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.0821,86.5,1.5217,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.0923,86.5,1.5214,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.107,86.5,1.5211,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.1464,86.5,1.5205,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,293.15,0.1765,86.5,1.52,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,298.15,0,86.5,1.5221,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,298.15,0.0087,86.5,1.5219,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
tEJJb,298.15,0.022,86.5,1.5216,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,
