setid,"Temperature, K",Mole fraction of ethanol,Mole fraction of 1-methyl-3-octylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EveVT,298.2,0.175,0.3,101.3,1.471,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.1869,0.25,101.3,1.4665,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.1996,0.2,101.3,1.451,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.2121,0.15,101.3,1.4395,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.225,0.1,101.3,1.4265,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.3498,0.3,101.3,1.4795,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.3746,0.25,101.3,1.47,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.3992,0.2,101.3,1.458,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.4249,0.15,101.3,1.4525,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
EveVT,298.2,0.45,0.1,101.3,1.437,Ghalami-Choobar and Niaki (2020),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,AAIsrh,CCO,ethanol,AADYJk,O,water,
