setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
FWblN,293.15,0,100,1.3335,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.1001,100,1.369,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.2002,100,1.3825,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.3004,100,1.3915,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.4003,100,1.398,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.5009,100,1.401,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.5999,100,1.4045,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.7002,100,1.4065,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.8004,100,1.4085,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,293.15,0.9011,100,1.4105,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,303.15,0,100,1.3315,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,303.15,0.1001,100,1.367,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,303.15,0.2002,100,1.381,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,303.15,0.3004,100,1.3895,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,303.15,0.4003,100,1.3955,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,303.15,0.5009,100,1.3995,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
FWblN,303.15,0.5999,100,1.402,Carissimi et al. (2019),Refractive index,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,,
