setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CnKTn,288.15,0,101,1.51603,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.0574,101,1.51462,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.073,101,1.51423,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.1111,101,1.51315,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.1927,101,1.51059,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.2941,101,1.50679,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.4005,101,1.50177,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.4996,101,1.49567,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.6077,101,1.48632,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.7064,101,1.47388,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.8058,101,1.45378,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.901,101,1.41884,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.9497,101,1.38778,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,0.9645,101,1.37506,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,288.15,1,101,1.33349,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0,101,1.5134,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.0574,101,1.51199,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.073,101,1.51159,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.1111,101,1.51052,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.1927,101,1.50803,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.2941,101,1.50426,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.4005,101,1.49921,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.4996,101,1.49314,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.6077,101,1.48384,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.7064,101,1.47142,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.8058,101,1.45141,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.901,101,1.4167,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.9497,101,1.38593,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,0.9645,101,1.37336,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,298.15,1,101,1.33255,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0,101,1.51077,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.0574,101,1.50937,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.073,101,1.50895,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.1111,101,1.50794,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.1927,101,1.50539,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.2941,101,1.5017,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.4005,101,1.49665,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.4996,101,1.49057,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.6077,101,1.48134,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.7064,101,1.46886,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.8058,101,1.44897,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.901,101,1.41447,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.9497,101,1.38397,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,0.9645,101,1.37158,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
CnKTn,308.15,1,101,1.33131,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,
