setid,"Temperature, K","Pressure, kPa",Mole fraction of benzyltributylammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
dOLkC,283.15,100,0.25,1.4993,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,288.15,100,0.25,1.4979,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,293.15,100,0.25,1.4963,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,298.15,100,0.25,1.4947,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,303.15,100,0.25,1.4932,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,308.15,100,0.25,1.4917,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,313.15,100,0.25,1.4901,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,318.15,100,0.25,1.4886,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,323.15,100,0.25,1.4871,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,328.15,100,0.25,1.4855,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,333.15,100,0.25,1.484,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,338.15,100,0.25,1.4825,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
dOLkC,343.15,100,0.25,1.4809,Basaiahgari et al. (2018),Refractive index,Liquid,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
