setid,Mole fraction of methyl ethanoate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
yyZOd,0.0699,298.15,101,1.4319,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.1317,298.15,101,1.43089,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.1748,298.15,101,1.43009,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.2177,298.15,101,1.42927,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.3226,298.15,101,1.42694,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.4105,298.15,101,1.42453,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.5011,298.15,101,1.42124,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.6001,298.15,101,1.41684,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.6992,298.15,101,1.41055,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.7872,298.15,101,1.40296,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
yyZOd,0.8984,298.15,101,1.387,Andreatta et al. (2009b),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,
