setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
HyukL,298.15,0,100,1.4175,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.1007,100,1.4448,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.2003,100,1.4678,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.3007,100,1.4874,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.4003,100,1.5032,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.5,100,1.5143,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.5992,100,1.5218,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.7002,100,1.5286,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.8003,100,1.5343,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,0.8978,100,1.5399,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,298.15,1,100,1.5452,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,303.15,0,100,1.4151,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,303.15,0.1007,100,1.4437,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,303.15,0.2003,100,1.4669,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,303.15,0.3007,100,1.4867,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,303.15,0.4003,100,1.5026,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,303.15,0.5,100,1.5137,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
HyukL,303.15,0.5992,100,1.5211,Devi et al. (2024),Refractive index,Liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,,,,
