setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pXeXm,298.15,0.0117,101,1.33452,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.012,101,1.33458,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0234,101,1.3365,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.024,101,1.33648,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0351,101,1.33844,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0361,101,1.33865,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0471,101,1.34042,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0482,101,1.34054,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0589,101,1.34236,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0602,101,1.34256,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0708,101,1.34442,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0721,101,1.34457,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0822,101,1.34628,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0844,101,1.34646,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0941,101,1.34816,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.0964,101,1.34853,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.1061,101,1.35038,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.1084,101,1.35055,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.1171,101,1.35212,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
pXeXm,298.15,0.1205,101,1.35276,Tang et al. (2014a),Refractive index,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,
