setid,Weight fraction of heptane,Weight fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
huirK,0,0,313.15,101,1.42542,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,0.099,313.15,101,1.41392,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,0.231,313.15,101,1.40128,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,0.328,313.15,101,1.39325,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,0.529,313.15,101,1.37912,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,0.646,313.15,101,1.37165,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,0.74,313.15,101,1.36626,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,0.901,313.15,101,1.35782,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0,1,313.15,101,1.35353,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0.026,0.385,313.15,101,1.38773,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0.031,0.192,313.15,101,1.4032,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0.032,0.091,313.15,101,1.41343,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0.045,0.478,313.15,101,1.38044,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0.046,0.189,313.15,101,1.40302,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
huirK,0.047,0.574,313.15,101,1.37416,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,
