setid,Mole fraction of 1-methylethyl ethanoate,Mole fraction of propan-2-ol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xUmyK,0.0295,0.2947,298.15,101,1.42751,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0416,0.4798,298.15,101,1.42202,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0445,0.1912,298.15,101,1.4292,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0472,0.6679,298.15,101,1.41305,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0547,0.5701,298.15,101,1.41784,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0552,0.0915,298.15,101,1.4306,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0608,0.3788,298.15,101,1.42448,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0627,0.8451,298.15,101,1.39442,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0868,0.2772,298.15,101,1.42643,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
xUmyK,0.0887,0.7296,298.15,101,1.40489,Andreatta et al. (2010a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,
