setid,Mole fraction of 3-methyl-2-butanone,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qUFrE,0.0502,100,298.15,1.4807,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.1002,100,298.15,1.4798,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.1995,100,298.15,1.4777,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.2994,100,298.15,1.4746,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.4005,100,298.15,1.472,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.5005,100,298.15,1.4677,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.6003,100,298.15,1.4622,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.7001,100,298.15,1.4545,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.8,100,298.15,1.4426,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.8999,100,298.15,1.4263,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
qUFrE,0.95,100,298.15,1.4099,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,
