setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GOIhe,278.15,0,100,1.36775,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.1,100,1.40274,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.2,100,1.42727,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.3,100,1.44617,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.4,100,1.46096,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.4999,100,1.47239,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.5998,100,1.48313,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.7001,100,1.48967,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.799,100,1.49472,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
GOIhe,278.15,0.9,100,1.49993,Castro et al. (2014),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
