setid,Mole ratio to solvent: tetrabutylammonium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
DGEVt,8,313.15,100,1.479,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,8,323.15,100,1.476,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,8,333.15,100,1.474,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,8,343.15,100,1.471,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,8,353.15,100,1.468,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,9,313.15,100,1.478,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,9,323.15,100,1.475,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,9,333.15,100,1.472,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,9,343.15,100,1.469,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,9,353.15,100,1.466,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,10,313.15,100,1.479,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,10,323.15,100,1.476,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,10,333.15,100,1.473,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,10,343.15,100,1.47,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
DGEVt,10,353.15,100,1.467,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLkQ,CC[C@H](C)[C@H](N)C(=O)O,L-isoleucine,,,,
