setid,"Temperature, K",Mole fraction of methyltriphenylphosphonium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hbxEL,298.15,0.11,101.3,1.50265,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,298.15,0.13,101.3,1.50587,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,298.15,0.14,101.3,1.51187,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,308.15,0.11,101.3,1.49911,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,308.15,0.13,101.3,1.50221,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,308.15,0.14,101.3,1.50794,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,318.15,0.11,101.3,1.49546,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,318.15,0.13,101.3,1.49935,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,318.15,0.14,101.3,1.50501,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
hbxEL,328.15,0.11,101.3,1.49224,Mjalli et al. (2017),Refractive index,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
