setid,"Temperature, K",Volume fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gAWhj,293.15,0,101,1.32843,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.0747,101,1.33926,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.1041,101,1.34327,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.2013,101,1.35648,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.3315,101,1.37286,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.4125,101,1.38271,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.5222,101,1.39563,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.6527,101,1.41047,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.7475,101,1.42106,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.8152,101,1.42843,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.8666,101,1.43377,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.9113,101,1.43844,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,0.9687,101,1.44425,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,293.15,1,101,1.44719,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0,101,1.32433,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.0742,101,1.3354,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.1035,101,1.33949,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.2002,101,1.35293,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.3301,101,1.36955,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.411,101,1.37949,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.5206,101,1.39258,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.6513,101,1.40757,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
gAWhj,303.15,0.7463,101,1.41824,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
