setid,"Temperature, K","Mole fraction of N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JzSnp,283.15,0,101.3,1.4247,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,283.15,0.2,101.3,1.4216,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,283.15,0.4,101.3,1.4185,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,283.15,0.6,101.3,1.4153,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,283.15,0.8,101.3,1.4121,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,283.15,1,101.3,1.4089,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,288.15,0,101.3,1.4234,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,288.15,0.2,101.3,1.4203,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,288.15,0.4,101.3,1.4171,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
JzSnp,288.15,0.6,101.3,1.4139,Seki et al. (2019),Refractive index,Liquid,ABVbjk,CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-trimethylpropanaminium bis((trifluoromethyl)sulfonyl)amide",ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
