setid,Mole fraction of tris(2-hydroxyethyl) methylammonium methylsulfate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
jadcQ,0.0482,298.15,101,1.3818,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.0981,298.15,101,1.39899,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.1509,298.15,101,1.41373,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.1994,298.15,101,1.42476,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.242,298.15,101,1.43322,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.2922,298.15,101,1.44083,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.3882,298.15,101,1.45307,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.4841,298.15,101,1.46222,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.5923,298.15,101,1.4695,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.6288,298.15,101,1.47153,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.6881,298.15,101,1.47511,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.7379,298.15,101,1.47666,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.7878,298.15,101,1.47867,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.8379,298.15,101,1.48018,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.8738,298.15,101,1.48134,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
jadcQ,0.9203,298.15,101,1.48278,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,,,,
