setid,"Solvent: Weight fraction of 1,4,7,10,13,16-hexaoxacyclooctadecane","MolaLity of 1-ethyl-1-methylpyrrolidinium bromide, mol/kg","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
baLsa,0.001,0.01,100,298.15,1.3331,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.001,0.025,100,298.15,1.3336,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.001,0.04,100,298.15,1.3339,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.001,0.055,100,298.15,1.3343,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.001,0.07,100,298.15,1.3346,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.001,0.085,100,298.15,1.3349,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.003,0.01,100,298.15,1.3334,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.003,0.025,100,298.15,1.3337,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.003,0.04,100,298.15,1.3341,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
baLsa,0.003,0.055,100,298.15,1.3345,Das et al. (2018b),Refractive index,Liquid,AAyrZp,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",AAlRMn,CC[N+]1(C)CCCC1.[Br-],1-ethyl-1-methylpyrrolidinium bromide,AADYJk,O,water,
