setid,"Temperature, K",Volume fraction of 1-butyl-4-methylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VoUzo,293.15,0,101,1.32843,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.1112,101,1.34463,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.2018,101,1.35697,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.35,101,1.37633,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.4246,101,1.38563,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.536,101,1.39939,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.6177,101,1.40923,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.7602,101,1.42612,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.8518,101,1.43688,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.918,101,1.44447,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.9493,101,1.44803,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,0.972,101,1.45071,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,293.15,1,101,1.45386,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0,101,1.32433,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.1106,101,1.34117,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.3486,101,1.37358,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.4232,101,1.38299,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.5344,101,1.39677,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.6207,101,1.40713,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.7591,101,1.42353,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.851,101,1.43426,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.9176,101,1.44194,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.949,101,1.44537,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,0.9718,101,1.44804,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,303.15,1,101,1.45114,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0,101,1.32015,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.11,101,1.33739,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.1999,101,1.35068,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.3473,101,1.3707,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.4217,101,1.38018,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.5329,101,1.39391,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.6193,101,1.40438,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.758,101,1.42079,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.8503,101,1.43146,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.9171,101,1.43912,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.9487,101,1.44264,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,0.9717,101,1.44535,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,313.15,1,101,1.44841,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0,101,1.3167,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.1093,101,1.33458,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.1988,101,1.34799,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.3457,101,1.36799,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.42,101,1.37759,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.5312,101,1.39136,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.6177,101,1.4019,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.7567,101,1.41831,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.8494,101,1.42883,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.9166,101,1.43643,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.9483,101,1.43993,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,0.9715,101,1.44266,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
VoUzo,323.15,1,101,1.44571,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAGIBL,CO,methanol,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,,
