setid,Weight fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VJZsS,0.006,313.15,101,1.42002,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.016,313.15,101,1.41876,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.033,313.15,101,1.41677,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.056,313.15,101,1.41426,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.087,313.15,101,1.41118,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.128,313.15,101,1.40726,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.174,313.15,101,1.40298,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.254,313.15,101,1.39649,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.372,313.15,101,1.38757,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
VJZsS,0.551,313.15,101,1.37559,Corderi et al. (2013),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
